,ensembl_gene_id,uniprot_id
636,ENSG00000055208,Q9NYJ8
637,ENSG00000056291,Q9Y5X5
638,ENSG00000056487,Q96EK2
639,ENSG00000065183,Q9UNX4
640,ENSG00000069943,Q92521
641,ENSG00000070950,Q9NS91
642,ENSG00000071242,Q15349
643,ENSG00000079215,P43003
644,ENSG00000080572,Q9NQM4
645,ENSG00000089101,Q8NHU2
646,ENSG00000100167,Q9UH03
647,ENSG00000100226,O00178
648,ENSG00000100276,Q92737
649,ENSG00000102471,Q9NV92
650,ENSG00000102904,Q2TAA8
651,ENSG00000103249,P51798
652,ENSG00000104313,Q99502
653,ENSG00000105254,Q99426
654,ENSG00000107147,Q5JUK3
655,ENSG00000109625,Q66K79
656,ENSG00000110237,Q96PE2
657,ENSG00000112874,Q9BQG2
658,ENSG00000114062,Q05086
659,ENSG00000114859,P51788
660,ENSG00000115170,Q04771
661,ENSG00000115935,O43516
662,ENSG00000119772,Q9Y6K1
663,ENSG00000120068,P17481
664,ENSG00000123154,Q9BRX9
665,ENSG00000123191,P35670
666,ENSG00000128596,Q96JN2
667,ENSG00000129518,Q56P03
668,ENSG00000129749,Q9GZZ6
669,ENSG00000131584,Q96P50
670,ENSG00000133048,P36222
671,ENSG00000133731,P29218
672,ENSG00000134851,Q9HC07
673,ENSG00000135333,Q15375
674,ENSG00000136425,O75838
675,ENSG00000137033,O95760
676,ENSG00000137513,Q96I59
677,ENSG00000139163,Q9HBU6
678,ENSG00000140092,Q9UBX5
679,ENSG00000141971,Q96EY5
680,ENSG00000143452,Q86X24
681,ENSG00000143727,P24666
682,ENSG00000144230,Q13304
683,ENSG00000144747,P82094
684,ENSG00000147862,O00712
685,ENSG00000148019,Q5JTW2
686,ENSG00000148604,P47804
687,ENSG00000149591,Q01995
688,ENSG00000150455,P58753
689,ENSG00000151012,Q9UPY5
690,ENSG00000152661,P17302
691,ENSG00000153558,Q9UKC9
692,ENSG00000154222,Q5T0F9
693,ENSG00000154227,Q8IU89
694,ENSG00000155066,Q8N271
695,ENSG00000156026,Q8NE86
696,ENSG00000156486,Q9ULS6
697,ENSG00000156735,O95429
698,ENSG00000156983,P55201
699,ENSG00000158050,Q05923
700,ENSG00000160209,O00764
701,ENSG00000160255,P05107
702,ENSG00000160917,O95639
703,ENSG00000162493,Q86YL7
704,ENSG00000163357,Q5T197
705,ENSG00000163435,P78545
706,ENSG00000163531,O94856
707,ENSG00000163539,O75122
708,ENSG00000163581,P11168
709,ENSG00000163902,P04843
710,ENSG00000164062,P13798
711,ENSG00000164118,Q9C0F1
712,ENSG00000165282,Q8TEQ8
713,ENSG00000165675,Q16206
714,ENSG00000167685,Q8N0Y2
715,ENSG00000168010,Q8NAA4
716,ENSG00000168101,Q9BRJ7
717,ENSG00000168273,Q8WVI0
718,ENSG00000168675,O15165
719,ENSG00000169059,Q9NNX9
720,ENSG00000169085,Q8TAG6
721,ENSG00000171680,O94827
722,ENSG00000172673,Q8N1K5
723,ENSG00000173145,Q8WTT2
724,ENSG00000174611,Q8NBH2
725,ENSG00000174876,P0DTE7
726,ENSG00000175110,P82650
727,ENSG00000176542,Q68DE3
728,ENSG00000177731,Q13045
729,ENSG00000182346,P59103
730,ENSG00000183426,Q9UND3
731,ENSG00000183814,Q5TKA1
732,ENSG00000185040,A6NNV3
733,ENSG00000187736,Q9H9Q4
734,ENSG00000188152,Q5VZR2
735,ENSG00000188566,Q9UHB4
736,ENSG00000196119,Q8NGG7
737,ENSG00000197372,Q8TD23
738,ENSG00000197753,Q8TAF8
739,ENSG00000197961,P58317
740,ENSG00000198556,Q5FWF6
741,ENSG00000198909,Q99759
742,ENSG00000198910,P32004
743,ENSG00000203668,P26374
744,ENSG00000205670,P58511
745,ENSG00000215114,Q14CS0
746,ENSG00000226887,Q9H9K5
747,ENSG00000239672,P15531
748,ENSG00000254126,A6NJW9
749,ENSG00000256870,Q8N695
750,ENSG00000258289,Q8WUH1
751,ENSG00000267680,Q9NZL3
752,ENSG00000282419,A0A0J9YY54
753,ENSG00000005448,Q9H977
754,ENSG00000005801,O14628
755,ENSG00000018869,Q96NG8
756,ENSG00000022556,Q9NX02
757,ENSG00000027075,P24723
758,ENSG00000062282,Q96PD7
759,ENSG00000065618,Q9UMD9
760,ENSG00000073605,Q8TAX9
761,ENSG00000075891,Q02962
762,ENSG00000085832,P42566
763,ENSG00000089820,P98171
764,ENSG00000090686,Q86UV5
765,ENSG00000095397,Q9P202
766,ENSG00000095574,Q9H5V7
767,ENSG00000096093,Q5JVL4
768,ENSG00000101337,Q92544
769,ENSG00000101608,P19105
770,ENSG00000101746,O94818
771,ENSG00000102879,P31146
772,ENSG00000103266,Q9UNE7
773,ENSG00000104755,Q99965
774,ENSG00000104825,Q15653
775,ENSG00000105251,Q96IW2
776,ENSG00000106331,O43316
777,ENSG00000106392,Q9NS00
778,ENSG00000106462,Q15910
779,ENSG00000108187,P30039
780,ENSG00000109685,O96028
781,ENSG00000110756,Q9UPZ3
782,ENSG00000113569,O75694
783,ENSG00000115073,P42025
784,ENSG00000116885,Q8WVF1
785,ENSG00000117620,Q9Y2D2
786,ENSG00000118507,Q9P0M2
787,ENSG00000118507,O43687
788,ENSG00000119787,Q8NHH9
789,ENSG00000119917,O14879
790,ENSG00000121316,Q6P4A8
791,ENSG00000124164,O95292
792,ENSG00000125618,Q06710
793,ENSG00000127328,Q96QF0
794,ENSG00000131100,P36543
795,ENSG00000132017,Q66K64
796,ENSG00000132963,Q9Y244
797,ENSG00000133063,Q13231
798,ENSG00000134313,Q9ULH0
799,ENSG00000134532,P35711
800,ENSG00000136877,Q05932
801,ENSG00000136937,Q09161
802,ENSG00000137760,Q96BT7
803,ENSG00000137821,Q8IUZ0
804,ENSG00000139180,Q16795
805,ENSG00000139626,P26010
806,ENSG00000140545,Q08431
807,ENSG00000140992,O15530
808,ENSG00000141401,O14732
809,ENSG00000144591,Q96IJ6
810,ENSG00000144891,P30556
811,ENSG00000145191,Q13144
812,ENSG00000147123,Q9NX14
813,ENSG00000147548,Q9BZ95
