From	To
P01730	8FYI
P01730	8FYJ
P01730	8W90
P01730	8Z7N
Q9H8M2	3HME
Q9H8M2	4NQN
Q9H8M2	4UIT
Q9H8M2	4UIU
Q9H8M2	4UIV
Q9H8M2	4UIW
Q9H8M2	4XY8
Q9H8M2	4YY4
Q9H8M2	4YY6
Q9H8M2	4YYD
Q9H8M2	4YYG
Q9H8M2	4YYH
Q9H8M2	4YYI
Q9H8M2	4YYJ
Q9H8M2	4YYK
Q9H8M2	4Z6H
Q9H8M2	4Z6I
Q9H8M2	5E9V
Q9H8M2	5EU1
Q9H8M2	5F1H
Q9H8M2	5F1L
Q9H8M2	5F25
Q9H8M2	5F2P
Q9H8M2	5I40
Q9H8M2	5I7X
Q9H8M2	5I7Y
Q9H8M2	5IGM
Q9H8M2	5IGN
Q9H8M2	5JI8
Q9H8M2	5MKY
Q9H8M2	5TWX
Q9H8M2	6BQA
Q9H8M2	6HM0
Q9H8M2	6UZF
Q9H8M2	6V0S
Q9H8M2	6V0X
Q9H8M2	6V14
Q9H8M2	6V1B
Q9H8M2	6Y7H
Q9H8M2	6Y7I
Q9H8M2	6Y7J
Q9H8M2	6Y7K
Q9H8M2	6Y7L
Q9H8M2	6YQR
Q9H8M2	6YQS
Q9H8M2	6YQW
Q9H8M2	8A7I
Q9H8M2	8AHC
Q9HD26	2DC2
Q9HD26	2LOB
Q9HD26	4E34
Q9HD26	4E35
Q9HD26	4JOE
Q9HD26	4JOF
Q9HD26	4JOG
Q9HD26	4JOH
Q9HD26	4JOJ
Q9HD26	4JOK
Q9HD26	4JOP
Q9HD26	4JOR
Q9HD26	4K6Y
Q9HD26	4K72
Q9HD26	4K75
Q9HD26	4K76
Q9HD26	4K78
Q9HD26	4NMO
Q9HD26	4NMP
Q9HD26	4NMQ
Q9HD26	4NMR
Q9HD26	4NMS
Q9HD26	4NMT
Q9HD26	4NMV
Q9HD26	4Q6H
Q9HD26	4Q6S
Q9HD26	5IC3
Q9HD26	5K4F
Q9HD26	6OV7
Q9HD26	6V84
Q9HD26	6XNJ
Q9HD26	7JZO
Q9HD26	7JZP
Q9HD26	7JZQ
Q9HD26	7JZR
P46459	6KZQ
Q9BYE9	5CZR
Q9BYE9	7N86
Q12959	1PDR
Q12959	2M3M
Q12959	2OQS
Q12959	2X7Z
Q12959	3LRA
Q12959	3RL7
Q12959	3RL8
Q12959	3W9Y
Q12959	4AMH
Q12959	4G69
Q12959	7PC3
Q12959	8CN1
Q12959	8CN3
P49768	2KR6
P49768	4UIS
P49768	5A63
P49768	5FN2
P49768	5FN3
P49768	5FN4
P49768	5FN5
P49768	6IDF
P49768	6IYC
P49768	6LQG
P49768	6LR4
P49768	7C9I
P49768	7D8X
P49768	7Y5T
P49768	8IM7
P49768	8K8E
P49768	8KCO
P49768	8KCP
P49768	8KCS
P49768	8KCT
P49768	8KCU
P49768	8OQY
P49768	8OQZ
P49768	8X52
P49768	8X53
P49768	8X54
Q8WZA1	5GGF
Q8WZA1	5GGG
Q8WZA1	5GGI
Q8WZA1	5GGJ
Q8WZA1	5GGK
Q8WZA1	5GGL
Q8WZA1	5GGN
Q8WZA1	5GGO
Q8WZA1	5GGP
Q8WZA1	5XFC
Q9UBC3	3FLG
Q9UBC3	3QKJ
Q9UBC3	5CIU
Q9UBC3	5NR3
Q9UBC3	5NRR
Q9UBC3	5NRS
Q9UBC3	5NRV
Q9UBC3	5NV0
Q9UBC3	5NV2
Q9UBC3	5NV7
Q9UBC3	5NVO
Q9UBC3	6KDA
Q9UBC3	6KDB
Q9UBC3	6KDL
Q9UBC3	6KDP
Q9UBC3	6KDT
Q9UBC3	6PA7
Q9UBC3	6R3E
Q9UBC3	6U8P
Q9UBC3	6U8V
Q9UBC3	6U8W
Q9UBC3	6U8X
Q9UBC3	6U90
Q9UBC3	6U91
Q9UBC3	7O45
Q9UBC3	7V0E
Q9UBC3	7X9D
Q9UBC3	8EIH
Q9UBC3	8EII
Q9UBC3	8EIJ
Q9UBC3	8EIK
Q9UBC3	8XEE
O95178	5XTC
O95178	5XTD
O95178	5XTH
O95178	5XTI
Q9ULT8	2DK3
Q9ULT8	2LC3
Q9ULT8	3DKM
Q9BSI4	3BQO
Q9BSI4	3BU8
Q9BSI4	5XYF
Q9NRG9	7R5J
Q9NRG9	7R5K
O00541	2EP8
O00541	8FKP
O00541	8FKQ
O00541	8FKR
O00541	8FKS
O00541	8FKT
O00541	8FKU
O00541	8FKV
O00541	8FKW
O00541	8FKX
O00541	8FKY
O00541	8FKZ
O00541	8FL2
O00541	8FL3
O00541	8FL4
O00541	8FL6
O00541	8FL7
O00541	8FLA
O00541	8FLB
O00541	8FLD
O00541	8FLE
O00541	8INE
O00541	8INF
O00541	8IPX
O00541	8IPY
O00541	8IR3
Q15750	2J4O
Q15750	2POM
Q15750	2POP
Q15750	2YDS
Q15750	2YIY
Q15750	4AY5
Q15750	4AY6
Q15750	4GS6
Q15750	4KA3
Q15750	4L3P
Q15750	4L52
Q15750	4L53
Q15750	4O91
Q15750	5DIY
Q15750	5E7R
Q15750	5GJD
Q15750	5GJF
Q15750	5GJG
Q15750	5J7S
Q15750	5J8I
Q15750	5J9L
Q15750	5JGA
Q15750	5JGB
Q15750	5JGD
Q15750	5JH6
Q15750	5JK3
Q15750	5NZZ
Q15750	5O90
Q15750	5V5N
Q15750	5VVU
Q15750	7NTH
Q15750	7NTI
Q15750	8GW3
Q15750	8XI8
P62333	5GJQ
P62333	5GJR
P62333	5L4G
P62333	5LN3
P62333	5M32
P62333	5T0C
P62333	5T0G
P62333	5T0H
P62333	5T0I
P62333	5T0J
P62333	5VFP
P62333	5VFQ
P62333	5VFR
P62333	5VFS
P62333	5VFT
P62333	5VFU
P62333	5VGZ
P62333	5VHF
P62333	5VHH
P62333	5VHI
P62333	5VHJ
P62333	5VHM
P62333	5VHN
P62333	5VHO
P62333	5VHP
P62333	5VHQ
P62333	5VHR
P62333	5VHS
P62333	6MSB
P62333	6MSD
P62333	6MSE
P62333	6MSG
P62333	6MSH
P62333	6MSJ
P62333	6MSK
P62333	6WJN
P62333	7QXN
P62333	7QXP
P62333	7QXU
P62333	7QXW
P62333	7QXX
P62333	7QY7
P62333	7QYA
P62333	7QYB
P62333	8CVT
Q14934	2YRP
Q15274	2JBM
Q15274	4KWV
Q15274	4KWW
Q15274	5AYX
Q15274	5AYY
Q15274	5AYZ
Q8IV08	8Q1K
Q8IV08	8Q1X
Q8IV08	8S86
Q8IV08	8V5T
O95260	8TZV
O95260	8UAU
O95970	5Y2Z
O95970	5Y30
O95970	5Y31
O95970	8HPY
O95970	8HQ1
O95970	8HQ2
O95970	8Y6B
Q9P2W7	1V82
Q9P2W7	1V83
Q9P2W7	1V84
Q9UBW8	4D10
Q9UBW8	4D18
Q9UBW8	4WSN
P04070	1AUT
P04070	1LQV
P04070	3F6U
P04070	3JTC
P04070	4DT7
P04070	6M3B
P04070	6M3C
P04070	8JRU
P04070	8JRV
Q53GS7	6B4F
Q53GS7	6B4I
Q53GS7	6B4J
O14662	8QQF
O95630	2XZE
O95630	3RZU
O95630	3RZV
O95630	5IXF
P63096	1KJY
P63096	1Y3A
P63096	2G83
P63096	2GTP
P63096	2IK8
P63096	2OM2
P63096	2XNS
P63096	3ONW
P63096	3QE0
P63096	3QI2
P63096	3UMR
P63096	3UMS
P63096	4G5Q
P63096	5JS7
P63096	5JS8
P63096	5TDH
P63096	6CMO
P63096	6CRK
P63096	6DDE
P63096	6DDF
P63096	6KPF
P63096	6KPG
P63096	6LFM
P63096	6LFO
P63096	6LML
P63096	6N4B
P63096	6OMM
P63096	6OS9
P63096	6OSA
P63096	6OT0
P63096	6PB0
P63096	6PB1
P63096	6PT0
P63096	6QNO
P63096	6VU8
P63096	6XBJ
P63096	6XBK
P63096	6XBL
P63096	6XBM
P63096	7CMU
P63096	7CMV
P63096	7DB6
P63096	7DW9
P63096	7E2X
P63096	7E2Y
P63096	7E2Z
P63096	7E32
P63096	7E33
P63096	7E9G
P63096	7EB2
P63096	7EJX
P63096	7EO2
P63096	7EO4
P63096	7EUO
P63096	7EVY
P63096	7EVZ
P63096	7EW0
P63096	7EW1
P63096	7EW2
P63096	7EW3
P63096	7EW4
P63096	7EW7
P63096	7EXD
P63096	7EZH
P63096	7EZK
P63096	7EZM
P63096	7F1Q
P63096	7F1R
P63096	7F1S
P63096	7F4D
P63096	7F4F
P63096	7F4H
P63096	7F4I
P63096	7JHJ
P63096	7JVR
P63096	7L0P
P63096	7L0Q
P63096	7L0R
P63096	7L0S
P63096	7MTS
P63096	7NA7
P63096	7NA8
P63096	7O7F
P63096	7P02
P63096	7RKM
P63096	7RKN
P63096	7RKX
P63096	7RKY
P63096	7S8M
P63096	7S8O
P63096	7SBF
P63096	7SCG
P63096	7SQO
P63096	7T2G
P63096	7T2H
P63096	7T6B
P63096	7T6S
P63096	7T6T
P63096	7T6U
P63096	7T6V
P63096	7TRK
P63096	7TRP
P63096	7TRQ
P63096	7TRS
P63096	7TUZ
P63096	7U2K
P63096	7U2L
P63096	7V68
P63096	7V69
P63096	7V6A
P63096	7V9L
P63096	7VAB
P63096	7VDH
P63096	7VDL
P63096	7VDM
P63096	7VFX
P63096	7VGX
P63096	7VGY
P63096	7VGZ
P63096	7VH0
P63096	7VIE
P63096	7VIF
P63096	7VIG
P63096	7VIH
P63096	7VKT
P63096	7VL8
P63096	7VL9
P63096	7VLA
P63096	7VUG
P63096	7VUY
P63096	7VUZ
P63096	7VV3
P63096	7VV5
P63096	7W0L
P63096	7W0M
P63096	7W0N
P63096	7W0O
P63096	7W0P
P63096	7WF7
P63096	7WIC
P63096	7WIG
P63096	7WJ5
P63096	7WQ3
P63096	7WU4
P63096	7WU5
P63096	7WU9
P63096	7WUI
P63096	7WUJ
P63096	7WVU
P63096	7WYB
P63096	7WZ4
P63096	7X2V
P63096	7X5H
P63096	7X9A
P63096	7X9B
P63096	7X9C
P63096	7X9Y
P63096	7XA3
P63096	7XAT
P63096	7XAU
P63096	7XAV
P63096	7XBW
P63096	7XBX
P63096	7XK2
P63096	7XK8
P63096	7XMR
P63096	7XMS
P63096	7XMT
P63096	7XTA
P63096	7XXH
P63096	7Y12
P63096	7Y15
P63096	7Y1F
P63096	7Y64
P63096	7Y65
P63096	7Y66
P63096	7Y67
P63096	7Y89
P63096	7YAC
P63096	7YAE
P63096	7YDJ
P63096	7YDP
P63096	7YKD
P63096	7YON
P63096	7YOO
P63096	7YU3
P63096	7YU5
P63096	7YU6
P63096	7YU7
P63096	7YU8
P63096	8DZP
P63096	8EF5
P63096	8EF6
P63096	8EFB
P63096	8EFL
P63096	8EFO
P63096	8EFQ
P63096	8F7Q
P63096	8F7R
P63096	8F7S
P63096	8F7W
P63096	8F7X
P63096	8FEG
P63096	8FY8
P63096	8FYE
P63096	8FYL
P63096	8FYT
P63096	8FYX
P63096	8G05
P63096	8G59
P63096	8G94
P63096	8GAG
P63096	8GCM
P63096	8GCP
P63096	8GDC
P63096	8GHV
P63096	8GUQ
P63096	8GUR
P63096	8GUS
P63096	8GUT
P63096	8H2G
P63096	8H4I
P63096	8HBD
P63096	8HK2
P63096	8HK3
P63096	8HK5
P63096	8HN8
P63096	8HNK
P63096	8HNL
P63096	8HNM
P63096	8HOC
P63096	8HQE
P63096	8HQM
P63096	8HQN
P63096	8HS3
P63096	8HSC
P63096	8HVI
P63096	8I7V
P63096	8I7W
P63096	8IA8
P63096	8IC0
P63096	8ID3
P63096	8ID4
P63096	8ID6
P63096	8ID8
P63096	8ID9
P63096	8IHB
P63096	8IHF
P63096	8IHH
P63096	8IHI
P63096	8IHJ
P63096	8IJ3
P63096	8IJA
P63096	8IJB
P63096	8IJD
P63096	8IKG
P63096	8IKH
P63096	8INR
P63096	8IOC
P63096	8IOD
P63096	8IRS
P63096	8IRT
P63096	8IRV
P63096	8IU2
P63096	8IW4
P63096	8IW7
P63096	8IW9
P63096	8IY5
P63096	8IZ4
P63096	8J18
P63096	8J19
P63096	8J1A
P63096	8J20
P63096	8J21
P63096	8J22
P63096	8J23
P63096	8J24
P63096	8J6I
P63096	8J6J
P63096	8J6L
P63096	8J6P
P63096	8J6Q
P63096	8J6R
P63096	8JD3
P63096	8JD5
P63096	8JGB
P63096	8JGG
P63096	8JHY
P63096	8JII
P63096	8JIL
P63096	8JIM
P63096	8JIP
P63096	8JIR
P63096	8JIS
P63096	8JJP
P63096	8JLJ
P63096	8JLK
P63096	8JLR
P63096	8JPN
P63096	8JR9
P63096	8JSO
P63096	8JSP
P63096	8JT6
P63096	8JXT
P63096	8JXV
P63096	8JXW
P63096	8JXX
P63096	8JZ7
P63096	8K2X
P63096	8K3Z
P63096	8K4N
P63096	8K4P
P63096	8KFX
P63096	8KFY
P63096	8KFZ
P63096	8PJK
P63096	8PKM
P63096	8SAI
P63096	8SG1
P63096	8U1U
P63096	8U4N
P63096	8U4O
P63096	8U4P
P63096	8U4Q
P63096	8UGY
P63096	8UH3
P63096	8VY7
P63096	8W8B
P63096	8W8R
P63096	8WC3
P63096	8WC4
P63096	8WC5
P63096	8WC6
P63096	8WC7
P63096	8WC8
P63096	8WCA
P63096	8WG8
P63096	8WOG
P63096	8WP1
P63096	8WRB
P63096	8WSS
P63096	8WW2
P63096	8XBE
P63096	8XBH
P63096	8XGM
P63096	8XOS
P63096	8XQN
P63096	8XQO
P63096	8XQS
P63096	8XQT
P63096	8XWP
P63096	8XWQ
P63096	8XZF
P63096	8XZG
P63096	8XZH
P63096	8XZI
P63096	8XZJ
P63096	8YKV
P63096	8YKW
P63096	8YKX
P63096	8YN5
P63096	8YN6
P63096	8YN9
P63096	8YNA
P63096	8YUU
P63096	8YUV
P63096	8ZBE
P63096	8ZCJ
P63096	8ZJD
P63096	8ZJE
P63096	8ZQE
P63096	9AVG
P63096	9AYF
P63096	9BQJ
P63096	9EPP
P63096	9EPQ
P63096	9ERX
P63096	9IJ9
P63096	9IQT
P42658	1XFD
P42658	7E87
P42658	7E89
P42658	7E8B
P42658	7E8E
P42658	7E8G
P42658	7E8H
P42658	7UKG
P78352	1KEF
P78352	2MES
P78352	3I4W
P78352	3K82
P78352	3ZRT
P78352	5J7J
P78352	5JXB
P78352	6QJD
P78352	6QJF
P78352	6QJG
P78352	6QJI
P78352	6QJJ
P78352	6QJK
P78352	6QJL
P78352	6QJN
P78352	6SPV
P78352	6SPZ
P78352	8AH4
P78352	8AH5
P78352	8AH6
P78352	8AH7
P78352	8AH8
P02741	1B09
P02741	1GNH
P02741	1LJ7
P02741	3L2Y
P02741	3PVN
P02741	3PVO
P02741	7PK9
P02741	7PKB
P02741	7PKD
P02741	7PKE
P02741	7PKF
P02741	7PKG
P02741	7PKH
P02741	7TBA
P02741	8WV4
P02741	8WV5
Q9H9J2	3J7Y
Q9H9J2	3J9M
Q9H9J2	5OOL
Q9H9J2	5OOM
Q9H9J2	6I9R
Q9H9J2	6NU2
Q9H9J2	6NU3
Q9H9J2	6VLZ
Q9H9J2	6VMI
Q9H9J2	6ZM5
Q9H9J2	6ZM6
Q9H9J2	6ZS9
Q9H9J2	6ZSA
Q9H9J2	6ZSB
Q9H9J2	6ZSC
Q9H9J2	6ZSD
Q9H9J2	6ZSE
Q9H9J2	6ZSG
Q9H9J2	7A5F
Q9H9J2	7A5G
Q9H9J2	7A5H
Q9H9J2	7A5I
Q9H9J2	7A5J
Q9H9J2	7A5K
Q9H9J2	7L08
Q9H9J2	7L20
Q9H9J2	7O9K
Q9H9J2	7O9M
Q9H9J2	7ODR
Q9H9J2	7ODS
Q9H9J2	7ODT
Q9H9J2	7OF0
Q9H9J2	7OF2
Q9H9J2	7OF3
Q9H9J2	7OF4
Q9H9J2	7OF5
Q9H9J2	7OF6
Q9H9J2	7OF7
Q9H9J2	7OG4
Q9H9J2	7OI6
Q9H9J2	7OI7
Q9H9J2	7OI8
Q9H9J2	7OI9
Q9H9J2	7OIA
Q9H9J2	7OIB
Q9H9J2	7OIC
Q9H9J2	7OID
Q9H9J2	7OIE
Q9H9J2	7PD3
Q9H9J2	7PO4
Q9H9J2	7QH6
Q9H9J2	7QH7
Q9H9J2	7QI4
Q9H9J2	7QI5
Q9H9J2	7QI6
Q9H9J2	8ANY
Q9H9J2	8K2A
Q9H9J2	8K2B
Q9H9J2	8OIR
Q9H9J2	8OIT
Q9H9J2	8PK0
Q9H9J2	8QSJ
Q9H9J2	8QU5
Q9H9J2	8XT0
Q9H9J2	8XT1
Q9H9J2	8XT2
Q9H9J2	8XT3
Q16820	4GWM
Q16820	4GWN
Q16820	7AQ1
Q16820	7AUW
P05026	7E1Z
P05026	7E20
P05026	7E21
P05026	8D3U
P05026	8D3V
P05026	8D3W
P05026	8D3X
P05026	8D3Y
P31151	1PSR
P31151	2PSR
P31151	2WND
P31151	2WOR
P31151	2WOS
P31151	3PSR
P31151	4AQJ
P49810	7Y5X
P49810	7Y5Z
Q15700	2BYG
Q15700	2HE2
Q8NCE0	7UXA
Q8NCE0	7ZRZ
Q8NCE0	8HMY
Q8NCE0	8HMZ
Q8NCE0	8ISS
A0JLT2	7EMF
A0JLT2	7ENA
A0JLT2	7ENC
A0JLT2	7ENJ
A0JLT2	7LBM
A0JLT2	7NVR
A0JLT2	8GXQ
A0JLT2	8GXS
A0JLT2	8TQW
A0JLT2	8TRH
P15735	2Y7J
P20591	3LJB
P20591	3SZR
P20591	3ZYS
P20591	4P4S
P20591	4P4T
P20591	4P4U
P20591	5GTM
Q9Y223	2YHW
Q9Y223	2YHY
Q9Y223	2YI1
Q9Y223	3EO3
Q9Y223	4ZHT
Q9UK41	6VME
Q8TCG1	5UFL
O96033	5MPO
O96007	4AP8
O96007	5MPO
P61978	1J5K
P61978	1KHM
P61978	1ZZI
P61978	1ZZJ
P61978	1ZZK
P61978	7CRE
P61978	7CRU
P61978	7RJK
P61978	7RJO
Q92574	4Z6Y
Q92574	5EJC
Q92574	7DL2
Q8TBX8	2GK9
Q8TBX8	7QIE
Q8TBX8	7QPN
Q8TBX8	8BQ4
Q9H313	7P5J
Q9BZV1	6SAP
Q9BZV1	8FCL
Q9BZV1	8FCM
Q9BZV1	8FCN
Q9BZV1	8FCO
Q9BZV1	8FCP
Q9BZV1	8FCQ
Q9BZV1	8FCR
Q9BZV1	8FCT
Q16531	2B5L
Q16531	2B5M
Q16531	2B5N
Q16531	2HYE
Q16531	3E0C
Q16531	3EI1
Q16531	3EI2
Q16531	3EI3
Q16531	3EI4
Q16531	3I7H
Q16531	3I7K
Q16531	3I7L
Q16531	3I7N
Q16531	3I7O
Q16531	3I7P
Q16531	3I89
Q16531	3I8C
Q16531	3I8E
Q16531	4A08
Q16531	4A09
Q16531	4A0A
Q16531	4A0B
Q16531	4A0K
Q16531	4A0L
Q16531	4A11
Q16531	4CI1
Q16531	4CI2
Q16531	4CI3
Q16531	4E54
Q16531	4E5Z
Q16531	4TZ4
Q16531	5FQD
Q16531	5HXB
Q16531	5JK7
Q16531	5V3O
Q16531	6BN7
Q16531	6BN8
Q16531	6BN9
Q16531	6BNB
Q16531	6BOY
Q16531	6DSZ
Q16531	6FCV
Q16531	6H0F
Q16531	6H0G
Q16531	6PAI
Q16531	6Q0R
Q16531	6Q0V
Q16531	6Q0W
Q16531	6R8Y
Q16531	6R8Z
Q16531	6R90
Q16531	6R91
Q16531	6R92
Q16531	6SJ7
Q16531	6TD3
Q16531	6UD7
Q16531	6UE5
Q16531	6UML
Q16531	6XK9
Q16531	6ZUE
Q16531	6ZX9
Q16531	7LPS
Q16531	7OKQ
Q16531	7OO3
Q16531	7OOB
Q16531	7OOP
Q16531	7OPC
Q16531	7OPD
Q16531	7U8F
Q16531	7UKN
Q16531	7V7B
Q16531	7V7C
Q16531	7ZN7
Q16531	7ZNN
Q16531	8AJM
Q16531	8AJN
Q16531	8AJO
Q16531	8B3D
Q16531	8B3F
Q16531	8B3G
Q16531	8B3I
Q16531	8BU1
Q16531	8BU2
Q16531	8BU3
Q16531	8BU4
Q16531	8BU5
Q16531	8BU6
Q16531	8BU7
Q16531	8BU9
Q16531	8BUA
Q16531	8BUB
Q16531	8BUC
Q16531	8BUD
Q16531	8BUE
Q16531	8BUF
Q16531	8BUG
Q16531	8BUH
Q16531	8BUI
Q16531	8BUJ
Q16531	8BUK
Q16531	8BUL
Q16531	8BUM
Q16531	8BUN
Q16531	8BUO
Q16531	8BUP
Q16531	8BUQ
Q16531	8BUR
Q16531	8BUS
Q16531	8BUT
Q16531	8CVP
Q16531	8D7U
Q16531	8D7V
Q16531	8D7W
Q16531	8D7X
Q16531	8D7Y
Q16531	8D7Z
Q16531	8D80
Q16531	8D81
Q16531	8DEY
Q16531	8G46
Q16531	8G66
Q16531	8OIZ
Q16531	8OJH
Q16531	8OV6
Q16531	8QH5
Q16531	8ROX
Q16531	8ROY
Q16531	8T9A
Q16531	8TL6
Q16531	8TNP
Q16531	8TNQ
Q16531	8TNR
Q16531	8TZX
Q16531	8U15
Q16531	8U16
Q16531	8U17
Q16531	8UH6
Q16531	8WQR
Q16531	9BBE
Q16531	9BBG
Q16531	9BBH
Q16531	9BBI
Q16531	9FMR
P13497	3EDG
P13497	3EDH
P13497	6BSL
P13497	6BSM
P13497	6BTN
P13497	6BTO
P13497	6BTP
P13497	6BTQ
P49917	1IK9
P49917	2E2W
P49917	3II6
P49917	3VNN
P49917	3W1B
P49917	3W1G
P49917	3W5O
P49917	4HTO
P49917	4HTP
P49917	6BKF
P49917	6BKG
P49917	7D9K
P49917	7D9Y
P49917	7LSY
P49917	7LT3
P49917	7NFC
P49917	7NFE
P49917	8BH3
P49917	8BHV
P49917	8BHY
P49917	8BOT
P49917	8EZA
P49917	8EZB
Q8N4H5	7CK6
Q8N4H5	7CP9
Q8N4H5	7VBY
Q8N4H5	7VC4
Q8N4H5	7VD2
Q8N4H5	7VDD
Q8N4H5	8XVA
P84095	6UKA
P84095	7Y4A
P84095	8XM7
P84095	8ZJ2
Q9H9A5	8BFI
Q9H9A5	8FY3
Q9UHD2	4EFO
Q9UHD2	4EUT
Q9UHD2	4EUU
Q9UHD2	4IM0
Q9UHD2	4IM2
Q9UHD2	4IM3
Q9UHD2	4IW0
Q9UHD2	4IWO
Q9UHD2	4IWP
Q9UHD2	4IWQ
Q9UHD2	5EOA
Q9UHD2	5EOF
Q9UHD2	5EP6
Q9UHD2	5W5V
Q9UHD2	6BNY
Q9UHD2	6BOD
Q9UHD2	6BOE
Q9UHD2	6CQ0
Q9UHD2	6CQ4
Q9UHD2	6CQ5
Q9UHD2	6NT9
Q9UHD2	6O8B
Q9UHD2	6RSR
Q9UHD2	6RST
Q9UHD2	6RSU
Q6VVX0	3C6G
Q6VVX0	3CZH
Q6VVX0	3DL9
Q9UM54	2N0Z
Q9UM54	2N10
Q9UM54	2N11
Q9UM54	2N12
Q9UM54	2N13
Q9UM54	6E5N
Q9UM54	6J56
Q9UM54	8W41
Q8TE69	5Y7D
Q96EK5	6ZPG
Q96EK5	6ZPH
Q96EK5	7RSI
Q96EK5	7RSQ
Q96EK5	7RYP
Q96EK5	7RYQ
Q96B36	5WBL
Q96B36	5WBU
Q96B36	5WBY
Q96B36	6SB0
P48047	8H9E
P48047	8H9I
P48047	8H9L
P48047	8H9P
P48047	8H9S
P48047	8H9T
P48047	8H9U
P48047	8H9V
P48047	8KI3
Q8N6R0	5WCJ
P40925	7RM9
P40925	7RRL
O60333	2EH0
Q8N983	3J7Y
Q8N983	3J9M
Q8N983	5OOL
Q8N983	5OOM
Q8N983	6I9R
Q8N983	6NU2
Q8N983	6NU3
Q8N983	6VLZ
Q8N983	6VMI
Q8N983	6ZM5
Q8N983	6ZM6
Q8N983	6ZS9
Q8N983	6ZSA
Q8N983	6ZSB
Q8N983	6ZSC
Q8N983	6ZSD
Q8N983	6ZSE
Q8N983	6ZSG
Q8N983	7A5F
Q8N983	7A5G
Q8N983	7A5H
Q8N983	7A5I
Q8N983	7A5J
Q8N983	7A5K
Q8N983	7L08
Q8N983	7L20
Q8N983	7O9K
Q8N983	7O9M
Q8N983	7ODR
Q8N983	7ODS
Q8N983	7ODT
Q8N983	7OF0
Q8N983	7OF2
Q8N983	7OF3
Q8N983	7OF4
Q8N983	7OF5
Q8N983	7OF6
Q8N983	7OF7
Q8N983	7OG4
Q8N983	7OI6
Q8N983	7OI7
Q8N983	7OI8
Q8N983	7OI9
Q8N983	7OIA
Q8N983	7OIB
Q8N983	7OIC
Q8N983	7OID
Q8N983	7OIE
Q8N983	7PD3
Q8N983	7PO4
Q8N983	7QH6
Q8N983	7QH7
Q8N983	7QI4
Q8N983	7QI5
Q8N983	7QI6
Q8N983	8ANY
Q8N983	8K2A
Q8N983	8K2B
Q8N983	8OIR
Q8N983	8OIT
Q8N983	8PK0
Q8N983	8QSJ
Q8N983	8QU5
Q8N983	8XT0
Q8N983	8XT1
Q8N983	8XT2
Q8N983	8XT3
Q9UHP7	4QKG
Q9UHP7	4QKH
Q9UHP7	4QKI
Q9UHP7	4QKJ
Q9UHP7	4WCO
Q9UHP7	5MGT
P15923	2MH0
P15923	2YPA
P15923	2YPB
P15923	3U5V
P15923	6MGN
O43432	1HU3
O95628	1E4U
O95628	1UR6
Q9NVH0	6K17
Q9NVH0	6K18
Q9NVH0	6K19
Q9NVH0	6K1A
